"id","bucket","measure","avg","min","max"
"bst2000-201383","2022-08-02 13:20:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 13:20:00","master_shaft_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 13:20:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 13:20:00","pusher_right_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 13:20:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 13:20:00","slave_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 13:10:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 13:10:00","master_shaft_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 13:10:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 13:10:00","pusher_right_motor_heat",27.83,27,28
"bst2000-201383","2022-08-02 13:10:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 13:10:00","slave_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 13:00:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 13:00:00","master_shaft_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 13:00:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 13:00:00","pusher_right_motor_heat",27.4,27,28
"bst2000-201383","2022-08-02 13:00:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 13:00:00","slave_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:50:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 12:50:00","master_shaft_motor_heat",29.6,29,30
"bst2000-201383","2022-08-02 12:50:00","pusher_left_motor_heat",27.6,27,28
"bst2000-201383","2022-08-02 12:50:00","pusher_right_motor_heat",27.4,27,28
"bst2000-201383","2022-08-02 12:50:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:50:00","slave_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:40:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 12:40:00","master_shaft_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 12:40:00","pusher_left_motor_heat",27.83,27,28
"bst2000-201383","2022-08-02 12:40:00","pusher_right_motor_heat",27.17,27,28
"bst2000-201383","2022-08-02 12:40:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:40:00","slave_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:30:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 12:30:00","master_shaft_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 12:30:00","pusher_left_motor_heat",27.4,27,28
"bst2000-201383","2022-08-02 12:30:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 12:30:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:30:00","slave_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:20:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 12:20:00","master_shaft_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 12:20:00","pusher_left_motor_heat",27.4,27,28
"bst2000-201383","2022-08-02 12:20:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 12:20:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:20:00","slave_shaft_motor_heat",32.2,32,33
"bst2000-201383","2022-08-02 12:10:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 12:10:00","master_shaft_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 12:10:00","pusher_left_motor_heat",27.2,27,28
"bst2000-201383","2022-08-02 12:10:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 12:10:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:10:00","slave_shaft_motor_heat",33.0,33,33
"bst2000-201383","2022-08-02 12:00:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 12:00:00","master_shaft_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 12:00:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 12:00:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 12:00:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 12:00:00","slave_shaft_motor_heat",33.0,33,33
"bst2000-201383","2022-08-02 11:50:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:50:00","master_shaft_motor_heat",30.4,30,31
"bst2000-201383","2022-08-02 11:50:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:50:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:50:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 11:50:00","slave_shaft_motor_heat",33.0,33,33
"bst2000-201383","2022-08-02 11:40:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:40:00","master_shaft_motor_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:40:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:40:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:40:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 11:40:00","slave_shaft_motor_heat",33.4,33,34
"bst2000-201383","2022-08-02 11:30:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:30:00","master_shaft_motor_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:30:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:30:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:30:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 11:30:00","slave_shaft_motor_heat",33.83,33,34
"bst2000-201383","2022-08-02 11:20:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:20:00","master_shaft_motor_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:20:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:20:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:20:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 11:20:00","slave_shaft_motor_heat",34.0,34,34
"bst2000-201383","2022-08-02 11:10:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:10:00","master_shaft_motor_heat",31.2,31,32
"bst2000-201383","2022-08-02 11:10:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:10:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:10:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 11:10:00","slave_shaft_motor_heat",34.0,34,34
"bst2000-201383","2022-08-02 11:00:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 11:00:00","master_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 11:00:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:00:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 11:00:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 11:00:00","slave_shaft_motor_heat",34.0,34,34
"bst2000-201383","2022-08-02 10:50:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 10:50:00","master_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 10:50:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 10:50:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 10:50:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 10:50:00","slave_shaft_motor_heat",34.0,34,34
"bst2000-201383","2022-08-02 10:40:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 10:40:00","master_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 10:40:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 10:40:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 10:40:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 10:40:00","slave_shaft_motor_heat",35.0,35,35
"bst2000-201383","2022-08-02 10:30:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 10:30:00","master_shaft_motor_heat",32.0,32,32
"bst2000-201383","2022-08-02 10:30:00","pusher_left_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 10:30:00","pusher_right_motor_heat",27.0,27,27
"bst2000-201383","2022-08-02 10:30:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 10:30:00","slave_shaft_motor_heat",35.0,35,35
"bst2000-201383","2022-08-02 10:20:00","master_shaft_drive_heat",31.0,31,31
