"id","bucket","master_shaft_drive_heat","master_shaft_motor_heat","pusher_left_motor_heat","pusher_right_motor_heat","slave_shaft_drive_heat","slave_shaft_motor_heat"
"bst2000-201383","2022-08-03 05:10:00",30,20,27,26,30,23
"bst2000-201383","2022-08-03 05:20:00",30,20,27,26,30,23
"bst2000-201383","2022-08-03 05:30:00",30,20,26,26,30,23
"bst2000-201383","2022-08-03 05:40:00",30,20,26,26,30,23
"bst2000-201383","2022-08-03 05:50:00",30,20,26,26,30,23
"bst2000-201383","2022-08-03 06:00:00",30,20,26,26,30,23
"bst2000-201383","2022-08-03 06:10:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 06:20:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 06:30:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 06:40:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 06:50:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 07:00:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 07:10:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 07:20:00",30,20,26,26,30,22
"bst2000-201383","2022-08-03 07:30:00",30,19,26,26,30,22
"bst2000-201383","2022-08-03 07:40:00",30,19,26,26,30,22
"bst2000-201383","2022-08-03 07:50:00",30,19,26,26,30,22
"bst2000-201383","2022-08-03 08:00:00",30,19,26,26,30,22
"bst2000-201383","2022-08-03 08:10:00",30,19,26,26,30,22
"bst2000-201383","2022-08-03 08:20:00",30,19,26,26,30,22
"bst2000-201383","2022-08-03 08:30:00",30,19,27,26,30,22
"bst2000-201383","2022-08-03 08:40:00",30,19,27,27,30,22
"bst2000-201383","2022-08-03 08:50:00",30,19,27,27,30,22
"bst2000-201383","2022-08-03 09:00:00",30,19,27,27,30,22
"bst2000-201383","2022-08-03 09:10:00",30,19,27,27,30,22
"bst2000-201383","2022-08-03 09:20:00",30,19,27,27,31,22
"bst2000-201383","2022-08-03 09:30:00",30,19,27,27,31,22
"bst2000-201383","2022-08-03 09:40:00",30,19,27,27,31,22
"bst2000-201383","2022-08-03 09:50:00",30,19,27,27,31,22
"bst2000-201383","2022-08-03 10:00:00",30,19,27,27,31,22
"bst2000-201383","2022-08-03 10:10:00",30,19,27,27,31,22
