"bucket","master_shaft_drive_heat","master_shaft_motor_heat","pusher_left_motor_heat","pusher_right_motor_heat","slave_shaft_drive_heat","slave_shaft_motor_heat"
"2022-08-03T05:30:00Z",30,20,27,26,30,23
"2022-08-03T05:40:00Z",30,20,26,26,30,23
"2022-08-03T05:50:00Z",30,20,26,26,30,23
"2022-08-03T06:00:00Z",30,20,26,26,30,23
"2022-08-03T06:10:00Z",30,20,26,26,30,22
"2022-08-03T06:20:00Z",30,20,26,26,30,22
"2022-08-03T06:30:00Z",30,20,26,26,30,22
"2022-08-03T06:40:00Z",30,20,26,26,30,22
"2022-08-03T06:50:00Z",30,20,26,26,30,22
"2022-08-03T07:00:00Z",30,20,26,26,30,22
"2022-08-03T07:10:00Z",30,20,26,26,30,22
"2022-08-03T07:20:00Z",30,20,26,26,30,22
"2022-08-03T07:30:00Z",30,19,26,26,30,22
"2022-08-03T07:40:00Z",30,19,26,26,30,22
"2022-08-03T07:50:00Z",30,19,26,26,30,22
"2022-08-03T08:00:00Z",30,19,26,26,30,22
"2022-08-03T08:10:00Z",30,19,26,26,30,22
"2022-08-03T08:20:00Z",30,19,26,26,30,22
"2022-08-03T08:30:00Z",30,19,27,26,30,22
"2022-08-03T08:40:00Z",30,19,27,27,30,22
"2022-08-03T08:50:00Z",30,19,27,27,30,22
"2022-08-03T09:00:00Z",30,19,27,27,30,22
"2022-08-03T09:10:00Z",30,19,27,27,30,22
"2022-08-03T09:20:00Z",30,19,27,27,31,22
"2022-08-03T09:30:00Z",30,19,27,27,31,22
"2022-08-03T09:40:00Z",30,19,27,27,31,22
"2022-08-03T09:50:00Z",30,19,27,27,31,22
"2022-08-03T10:00:00Z",30,19,27,27,31,22
"2022-08-03T10:10:00Z",30,19,27,27,31,22
"2022-08-03T10:20:00Z",30,19,27,27,31,22
"2022-08-03T10:30:00Z",30,19,27,27,31,22
