"bucket","bm_1_m_status","bm_2_m_status","electrical_consumtion","electrical_current","electrical_power","electrical_voltage","global_status","heat_material_out","lpc_m_status","master_shaft_drive_heat","master_shaft_load","master_shaft_motor_heat","master_shaft_speed","number_of_recipe","ob_1_m_status","production_mode","pusher_left_load","pusher_left_motor_heat","pusher_left_position","pusher_left_speed","pusher_right_load","pusher_right_motor_heat","pusher_right_position","pusher_right_speed","recipe_bst_overheat_info_sp","recipe_bst_overheat_warn_sp","recipe_bst_overload_info_sp","recipe_bst_overload_warn_sp","recipe_bst_speed_sp","recipe_push_down_position_sp","recipe_push_max_load_sp","recipe_push_min_speed_sp","rpc_m_status","shaft_counter_h","slave_shaft_drive_heat","slave_shaft_load","slave_shaft_motor_heat","slaver_shaft_speed","sm_m_status","ss_m_status","weight_pv"
"2022-07-24T15:10:00Z",0,0,0,0,0,0,6,24,7,31,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T15:20:00Z",0,0,0,0,0,0,6,24,7,31,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T15:30:00Z",0,0,0,0,0,0,6,24,7,31,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T15:40:00Z",0,0,0,0,0,0,6,24,7,31,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T15:50:00Z",0,0,0,0,0,0,6,24,7,31,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T16:00:00Z",0,0,0,0,0,0,6,24,7,31,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T16:10:00Z",0,0,0,0,0,0,6,24,7,32,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T16:20:00Z",0,0,0,0,0,0,6,24,7,32,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T16:30:00Z",0,0,0,0,0,0,6,24,7,32,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T16:40:00Z",0,0,0,0,0,0,6,24,7,32,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T16:50:00Z",0,0,0,0,0,0,6,24,7,32,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T17:00:00Z",0,0,0,0,0,0,6,24,7,32,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
"2022-07-24T17:10:00Z",0,0,0,0,0,0,6,24,7,32,0,19,0,1,0,1,0,28,39,0,0,28,15,0,80,95,40,65,100,200,60,8,0,228,32,0,22,0,0,0,0
